symbol,full_name,description,exchange,type
ACLBSL,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
ADBL,ADBL,Agricultural Development Bank Limited,Commercial Banks src:Nepsealpha.com,stock
ADBLD83,ADBLD83,10.35% ADBL Krisi Bank Rinpatra 2083,Corporate Debenture src:Nepsealpha.com,stock
AHPC,AHPC,Arun Valley Hydropower Development Co. Ltd.,Hydro Power src:Nepsealpha.com,stock
AIL,AIL,Ajod Insurance Limited,Non Life Insurance src:Nepsealpha.com,stock
AKBSL,AKBSL,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,Microfinance src:Nepsealpha.com,stock
AKJCL,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,Hydro Power src:Nepsealpha.com,stock
AKPL,AKPL,Arun Kabeli Power Ltd.,Hydro Power src:Nepsealpha.com,stock
ALBSL,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microfinance src:Nepsealpha.com,stock
ALICL,ALICL,Asian Life Insurance Co. Limited,Life Insurance src:Nepsealpha.com,stock
ALICLP,ALICLP,Asian Life Insurance Co. Ltd Promoter Share,Promoter Share src:Nepsealpha.com,stock
AMFI,AMFI,Arambha Microfinance Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
AMFIPO,AMFIPO,Arambha Microfinance Bittiya Sanstha Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
API,API,API Power Company Limited,Hydro Power src:Nepsealpha.com,stock
AVU,AVU,Arun Vanaspati Udhyog Limited,Manufacturing And Processing src:Nepsealpha.com,stock
BANKING,BANKING,Commercial Banking,Commercial Banking src:Nepsealpha.com,index
BARUN,BARUN,Barun Hydropower Co. Ltd.,Hydro Power src:Nepsealpha.com,stock
BBC,BBC,Bishal Bazar Company Limited,Tradings src:Nepsealpha.com,stock
BFC,BFC,Best Finance Company Ltd.,Finance src:Nepsealpha.com,stock
BFCPO,BFCPO,Best Finance Co. Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
BFLPO,BFLPO,Butwal Finance Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
BHBL,BHBL,Bhargav Bikash Bank Ltd.,Development Banks src:Nepsealpha.com,stock
BHBLPO,BHBLPO,Bhargav Bikash Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
BNHC,BNHC,Buddha Bhumi Nepal Hydro Power Co. Ltd.,Hydro Power src:Nepsealpha.com,stock
BNL,BNL,Bottlers Nepal (Balaju) Limited,Manufacturing And Processing src:Nepsealpha.com,stock
BNT,BNT,Bottlers Nepal (Terai) Limited,Manufacturing And Processing src:Nepsealpha.com,stock
BOKD2079,BOKD2079,8% BOK Debenture 2079,Corporate Debenture src:Nepsealpha.com,stock
BOKL,BOKL,Bank of Kathmandu Ltd.,Commercial Banks src:Nepsealpha.com,stock
BOKLPO,BOKLPO,Bank of Kathmandu Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
BPCL,BPCL,Butwal Power Company Limited,Hydro Power src:Nepsealpha.com,stock
BSBLPO,BSBLPO,Bishwa Bikas Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
BSL,BSL,Birat Shoe Limited,Manufacturing And Processing src:Nepsealpha.com,stock
BSM,BSM,Butwal Spinning Mills Limited,Manufacturing And Processing src:Nepsealpha.com,stock
CBBL,CBBL,Chhimek Laghubitta Bikas Bank Limited,Microfinance src:Nepsealpha.com,stock
CBBLPO,CBBLPO,Chhimek Laghubitta Bikas Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
CBL,CBL,Civil Bank Ltd,Commercial Banks src:Nepsealpha.com,stock
CBLPO,CBLPO,Civil Bank Ltd Promoter Share,Promoter Share src:Nepsealpha.com,stock
CCBL,CCBL,Century Commercial Bank Ltd.,Commercial Banks src:Nepsealpha.com,stock
CCBLPO,CCBLPO,Century Commercial Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
CEDB,CEDB,CEDB Hydropower Development Company Limited,Investment src:Nepsealpha.com,stock
CEFL,CEFL,City Express Finance Co. Limited,Finance src:Nepsealpha.com,stock
CEFLPO,CEFLPO,City Express Finance Co. Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
CFCL,CFCL,Central Finance Co. Ltd.,Finance src:Nepsealpha.com,stock
CFCLPO,CFCLPO,Central Finance Co. Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
CFL,CFL,Crystal Finance Ltd.,Finance src:Nepsealpha.com,stock
CGH,CGH,Chandragiri Hills Limited,Hotels and Tourism src:Nepsealpha.com,stock
CHCL,CHCL,Chilime Hydropower Company Limited,Hydro Power src:Nepsealpha.com,stock
CHDC,CHDC,CEDB Hydropower Development Company Limited,Investment src:Nepsealpha.com,stock
CHL,CHL,Chhyangdi Hydropower Ltd.,Hydro Power src:Nepsealpha.com,stock
CIT,CIT,Citizen Investment Trust,Investment src:Nepsealpha.com,stock
CIZBD86,CIZBD86,10.25% Citizens Bank Debenture 2086,Corporate Debenture src:Nepsealpha.com,stock
CLBSL,CLBSL,Civil Laghubitta Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
CMB,CMB,Capital Merchant Bank & Finance Co. Ltd.,Finance src:Nepsealpha.com,stock
CMBFLP,CMBFLP,Capital Merchant Bank. & Fin. Promoter Share,Promoter Share src:Nepsealpha.com,stock
CMF1,CMF1,Citizens Mutual Fund -1,Mutual Fund src:Nepsealpha.com,stock
CMF2,CMF2,CITIZENS MUTUAL FUND 2,Mutual Fund src:Nepsealpha.com,stock
CORBL,CORBL,Corporate Development Bank Limited,Development Banks src:Nepsealpha.com,stock
CORBLP,CORBLP,Corporate Development Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
CYC,CYC,Cyc Nepal Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
CZBIL,CZBIL,Citizen Bank International Limited,Commercial Banks src:Nepsealpha.com,stock
CZBILP,CZBILP,Citizens Bank Internatioal Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
DBBL,DBBL,Deva Bikas Bank Limited,Development Banks src:Nepsealpha.com,stock
DBBLPO,DBBLPO,Dev BikasBank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
DDBL,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
DDBLPO,DDBLPO,Deprosc LaghuBitta Promoter Share,Promoter Share src:Nepsealpha.com,stock
DEVBANK,DEVBANK,Development Bank,Development Bank src:Nepsealpha.com,index
DHPL,DHPL,Dibyashwori Hydropower Ltd.,Hydro Power src:Nepsealpha.com,stock
EBL,EBL,Everest Bank Limited,Commercial Banks src:Nepsealpha.com,stock
EBLCP,EBLCP,Everest Bank Limited Con. Pref.,Preferred Stock src:Nepsealpha.com,stock
EBLD2078,EBLD2078,8% EBL Debenture 2078,Corporate Debenture src:Nepsealpha.com,stock
EBLPO,EBLPO,Everest Bank Ltd.Promoter,Promoter Share src:Nepsealpha.com,stock
EDBL,EDBL,Excel Development Bank Ltd.,Development Banks src:Nepsealpha.com,stock
EDBLPO,EDBLPO,Excel Development Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
EIC,EIC,Everest Insurance Co. Ltd.,Non Life Insurance src:Nepsealpha.com,stock
EICPO,EICPO,Everest Insurance Co. Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
FBBLPO,FBBLPO,Fewa Bikas Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
FHL,FHL,Fleur Himalayan Limited,Manufacturing And Processing src:Nepsealpha.com,stock
FINANCE,FINANCE,Finance,Finance src:Nepsealpha.com,index
FLOAT,FLOAT,Float index,Float index src:Nepsealpha.com,index
FMDBL,FMDBL,First Micro Finance Development Bank Ltd.,Microfinance src:Nepsealpha.com,stock
FMDBLP,FMDBLP,First Micro Finance Development Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
FOWAD,FOWAD,Forward Community Microfinance Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
GBBL,GBBL,Garima Bikas Bank Limited,Development Banks src:Nepsealpha.com,stock
GBBLPO,GBBLPO,Garima Bikas Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
GBD80/81,GBD80/81,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,Corporate Debenture src:Nepsealpha.com,stock
GBILD80|81,GBILD80|81,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,Corporate Debenture src:Nepsealpha.com,stock
GBILD86/87,GBILD86/87,Global IME Bank Limited Debenture 2086/87,Corporate Debenture src:Nepsealpha.com,stock
GBIME,GBIME,Global IME Bank Limited,Commercial Banks src:Nepsealpha.com,stock
GBIMEP,GBIMEP,Global IME Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
GBLBS,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
GBLBSP,GBLBSP,Grameen Bikas Laghubitta Bittiya Sanstha Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
GDBL,GDBL,Gandaki Bikas Bank Limited,Development Banks src:Nepsealpha.com,stock
GDBLPO,GDBLPO,Gandaki Bikas Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
GFCL,GFCL,Goodwill Finance Co. Ltd.,Finance src:Nepsealpha.com,stock
GFCLPO,GFCLPO,Goodwill Finance Co. Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
GGBSL,GGBSL,Ghodighoda Laghubitta Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
GHL,GHL,Ghalemdi Hydro Limited,Hydro Power src:Nepsealpha.com,stock
GIC,GIC,General Insurance Company Nepal Ltd,Non Life Insurance src:Nepsealpha.com,stock
GILB,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
GILBPO,GILBPO,Global IME Laghubitta Bittiya Sanstha Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
GIMES1,GIMES1,Global IME Samunnat Scheme-1,Mutual Fund src:Nepsealpha.com,stock
GLBSL,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
GLH,GLH,GREENLIFE HYDROPOWER LIMITED,Hydro Power src:Nepsealpha.com,stock
GLICL,GLICL,Gurans Life Insurance Company Ltd.,Life Insurance src:Nepsealpha.com,stock
GLICLP,GLICLP,Guras Life Insurance Company Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
GMFBS,GMFBS,Ganapati Microfinance Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
GMFIL,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,Finance src:Nepsealpha.com,stock
GMFILP,GMFILP,Guheyshwori Merchant & Finance Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
GRDBL,GRDBL,Green Development Bank Ltd.,Development Banks src:Nepsealpha.com,stock
GRDBLP,GRDBLP,Green Development Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
GRU,GRU,Gorakhkali Rubber Udhyog Limited,Manufacturing And Processing src:Nepsealpha.com,stock
GUFL,GUFL,Gurkhas Finance Ltd.,Finance src:Nepsealpha.com,stock
GUFLPO,GUFLPO,Gurkhas Finance Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
GWFD83,GWFD83,12% Goodwill Finance Limited Debenture 2083,Corporate Debenture src:Nepsealpha.com,stock
HAMRO,HAMRO,Hamro Bikas Bank Ltd.,Development Banks src:Nepsealpha.com,stock
HAMROP,HAMROP,Hamro Bikas Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
HATH,HATH,Hathway Finance Company Limited,Finance src:Nepsealpha.com,stock
HATHPO,HATHPO,Hathway Finance Company Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
HATHWAY,HATHWAY,Hathway Investment Nepal Limited,Investment src:Nepsealpha.com,stock
HBL,HBL,Himalayan Bank Limited,Commercial Banks src:Nepsealpha.com,stock
HBLD83,HBLD83,10% Himalayan Bank Ltd. Debenture 2083,Corporate Debenture src:Nepsealpha.com,stock
HBLPO,HBLPO,Himalayan Bank Ltd. Promoter,Promoter Share src:Nepsealpha.com,stock
HBT,HBT,Harisiddhi Brick And Tiles Limited,Manufacturing And Processing src:Nepsealpha.com,stock
HDHPC,HDHPC,Himal Dolakha Hydropower Company Limited,Hydro Power src:Nepsealpha.com,stock
HDL,HDL,Himalayan Distillery Limited,Manufacturing And Processing src:Nepsealpha.com,stock
HFL,HFL,Himalayan Finance Limited (Bittiya Sanstha),Finance src:Nepsealpha.com,stock
HGI,HGI,Himalayan General Insurance Co. Ltd,Non Life Insurance src:Nepsealpha.com,stock
HGIPO,HGIPO,Himalayan General Insurance Co. Ltd Promoter Share,Promoter Share src:Nepsealpha.com,stock
HIDCL,HIDCL,Hydorelectricity Investment and Development Company Ltd,Investment src:Nepsealpha.com,stock
HOTELS,HOTELS,Hotels and Tourism,HOTELS src:Nepsealpha.com,index
HPPL,HPPL,Himalayan Power Partner Ltd.,Hydro Power src:Nepsealpha.com,stock
HURJA,HURJA,Himalaya Urja Bikas Company Limited,Hydro Power src:Nepsealpha.com,stock
HYDROPOWER,HYDROPOWER,Hydropower,Hydro Power src:Nepsealpha.com,index
ICFC,ICFC,ICFC Finance Limited,Finance src:Nepsealpha.com,stock
ICFCD83,ICFCD83,12% ICFC Finance Limited Debenture 2083,Corporate Debenture src:Nepsealpha.com,stock
ICFCPO,ICFCPO,ICFC Finance Limited Promotor Share,Promoter Share src:Nepsealpha.com,stock
IGI,IGI,IME General Insurance Ltd.,Non Life Insurance src:Nepsealpha.com,stock
IGIPO,IGIPO,IME General Insurance Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
ILBS,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
ILFCMP,ILFCMP,ILFCO Microfinance Bittiya Sanstha Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
ILI,ILI,IME Life Insurance Company Limited,Life Insurance src:Nepsealpha.com,stock
INVESTMENT,INVESTMENT,INVESTMENT,Investment src:Nepsealpha.com,index
JBBL,JBBL,Jyoti Bikas Bank Limited,Development Banks src:Nepsealpha.com,stock
JBBLPO,JBBLPO,Jyoti Bikash Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
JBLB,JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
JBNL,JBNL,Janata Bank Nepal Ltd.,Commercial Banks src:Nepsealpha.com,stock
JBNLPO,JBNLPO,Janata Bank Nepal Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
JEFL,JEFL,Jebils Finance Ltd.,Finance src:Nepsealpha.com,stock
JEFLPO,JEFLPO,Jebils Finance Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
JFL,JFL,Janaki Finance Ltd.,Finance src:Nepsealpha.com,stock
JFLPO,JFLPO,Janaki Finance Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
JLI,JLI,Jyoti Life Insurance Company Limited,Life Insurance src:Nepsealpha.com,stock
JOSHI,JOSHI,Joshi Hydropower Development Company Ltd,Hydro Power src:Nepsealpha.com,stock
JSLBB,JSLBB,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,Microfinance src:Nepsealpha.com,stock
JSLBBP,JSLBBP,Janautthan Samudayic Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
JSM,JSM,Jyoti Sinning Mills Limited,Manufacturing And Processing src:Nepsealpha.com,stock
KADBL,KADBL,Kanchan Development Bank Limited,Development Banks src:Nepsealpha.com,stock
KADBLP,KADBLP,Kanchan Development Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
KBL,KBL,Kumari Bank Limited,Commercial Banks src:Nepsealpha.com,stock
KBLD86,KBLD86,10.25% Kumari Bank Debenture 2086,Corporate Debenture src:Nepsealpha.com,stock
KBLPO,KBLPO,Kumari Bank Limited Promotor Share,Promoter Share src:Nepsealpha.com,stock
KEBL,KEBL,Kabeli Bikas Bank Limited,Development Banks src:Nepsealpha.com,stock
KEBLPO,KEBLPO,Kabeli BIkas Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
KEF,KEF,Kumari Equity Fund,Mutual Fund src:Nepsealpha.com,stock
KKHC,KKHC,Khanikhola Hydropower Co. Ltd.,Hydro Power src:Nepsealpha.com,stock
KLBSL,KLBSL,Kisan Lagubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
KMCDB,KMCDB,Kalika Microcredit Development Bank Ltd.,Microfinance src:Nepsealpha.com,stock
KMCDBP,KMCDBP,Kalika Microcredit Development Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
KMFL,KMFL,Kisan Microfinance Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
KMFLPO,KMFLPO,Kisan Microfinance Bittiya Sanstha Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
KNBL,KNBL,Kankai Bikas Bank Ltd.,Development Banks src:Nepsealpha.com,stock
KNBLPO,KNBLPO,Kankai Bikas Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
KPCL,KPCL,Kalika power Company Ltd,Hydro Power src:Nepsealpha.com,stock
KRBL,KRBL,Karnali Development Bank Limited,Development Banks src:Nepsealpha.com,stock
KRBLPO,KRBLPO,Karnali Development Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
KSBBL,KSBBL,Kamana Sewa Bikas Bank Limited,Development Banks src:Nepsealpha.com,stock
KSBBLP,KSBBLP,Kamana Sewa Bikas Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
LBBL,LBBL,Lumbini Bikas Bank Ltd.,Development Banks src:Nepsealpha.com,stock
LBBLPO,LBBLPO,Lumbini Bikas Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
LBL,LBL,Laxmi Bank Limited,Commercial Banks src:Nepsealpha.com,stock
LBLD86,LBLD86,10% Laxmi Bank Debenture 2086,Corporate Debenture src:Nepsealpha.com,stock
LBLPO,LBLPO,Laxmi Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
LEC,LEC,Liberty Energy Company Limited,Hydro Power src:Nepsealpha.com,stock
LEMF,LEMF,Laxmi Equity Fund,Mutual Fund src:Nepsealpha.com,stock
LFC,LFC,Lalitpur Finance Ltd.,Finance src:Nepsealpha.com,stock
LFCPO,LFCPO,Lalitpur Finance Co. Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
LGIL,LGIL,Lumbini General Insurance Co. Ltd.,Non Life Insurance src:Nepsealpha.com,stock
LGILPO,LGILPO,Lumbini General Insurance Co. Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
LICN,LICN,Life Insurance Co. Nepal,Life Insurance src:Nepsealpha.com,stock
LICNPO,LICNPO,Life Insurance Co. Nepal Promoter Share,Promoter Share src:Nepsealpha.com,stock
LIFEINSU,LIFEINSU,Life Insurance,Life Insurance src:Nepsealpha.com,index
LLBS,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
LLBSPO,LLBSPO,Laxmi Laghubitta Bittiya Sanstha Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
LUK,LUK,Laxmi Unnati Kosh,Mutual Fund Index src:Nepsealpha.com,stock
LVF1,LVF1,Laxmi Value Fund-1,Mutual Fund src:Nepsealpha.com,stock
MANUFACTURE,MANUFACTURE,Manufacturing and Processing,Manufacturing And Processing src:Nepsealpha.com,index
MBKHCL,MBKHCL,Madhya Bhotekoshi Jalavidyut Company Limited,Hydro Power src:Nepsealpha.com,stock
MBL,MBL,Machhapuchhre Bank Limited,Commercial Banks src:Nepsealpha.com,stock
MBLD2085,MBLD2085,10.25% Machhapuchchhre Debenture 2085,Corporate Debenture src:Nepsealpha.com,stock
MBLPO,MBLPO,MachhaPuchhre Bank Limited Promotor Share,Promoter Share src:Nepsealpha.com,stock
MDB,MDB,Miteri Development Bank Limited,Development Banks src:Nepsealpha.com,stock
MDBLPO,MDBLPO,Malika Development Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
MDBPO,MDBPO,Miteri Development Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
MEGA,MEGA,Mega Bank Nepal Ltd.,Commercial Banks src:Nepsealpha.com,stock
MEGAMF1,MEGAMF1,Mega Mutual Fund 1,Mutual Fund src:Nepsealpha.com,stock
MEGAPO,MEGAPO,Mega Bank Nepal Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
MEN,MEN,Mountain Energy Nepal Limited,Hydro Power src:Nepsealpha.com,stock
MERO,MERO,Mero Microfinance Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
MEROPO,MEROPO,Mero Microfinance Bittiya Sanstha Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
MFIL,MFIL,Manjushree Finance Ltd.,Finance src:Nepsealpha.com,stock
MFILPO,MFILPO,Manjushree Finance Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
MFLD85,MFLD85,9.5% Manjushree Finance Ltd. Debenture 2085,Corporate Debenture src:Nepsealpha.com,stock
MHNL,MHNL,Mountain Hydro Nepal Limited,Hydro Power src:Nepsealpha.com,stock
MICROFINANCE,MICROFINANCE,Microfinance,MICROFINANCE src:Nepsealpha.com,index
MKJC,MKJC,Mailung Khola Jal Vidhyut Company Limited,Hydro Power src:Nepsealpha.com,stock
MKLB,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
MLBBL,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
MLBBLP,MLBBLP,Mithila LaghuBitta Bikas Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
MLBD87,MLBD87,8.50% Machhapuchchhre Debenture 2087,Corporate Debenture src:Nepsealpha.com,stock
MLBL,MLBL,Mahalaxmi Bikas Bank Ltd.,Development Banks src:Nepsealpha.com,stock
MLBLPO,MLBLPO,Mahalxmi Bikas Bank Ltd. Promotor Share,Promoter Share src:Nepsealpha.com,stock
MLBS,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
MLBSL,MLBSL,Mahila Laghubitta Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
MMFDB,MMFDB,Mirmire Microfinance Development Bank Ltd.,Microfinance src:Nepsealpha.com,stock
MMFDBP,MMFDBP,Mirmire Microfinance Development Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
MNBBL,MNBBL,Muktinath Bikas Bank Ltd.,Development Banks src:Nepsealpha.com,stock
MNBBLP,MNBBLP,Muktinath Bikas Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
MPFL,MPFL,Multipurpose Finance Company Limited,Finance src:Nepsealpha.com,stock
MPFLPO,MPFLPO,Multipurpose Finance Company Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
MSLB,MSLB,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
MSMBS,MSMBS,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
MSMBSP,MSMBSP,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
MUTUAL,MUTUAL,Mutual Fund Index,Mutual Fund Index src:Nepsealpha.com,index
NABBC,NABBC,Narayani Development Bank Limited,Development Banks src:Nepsealpha.com,stock
NABIL,NABIL,Nabil Bank Limited,Commercial Banks src:Nepsealpha.com,stock
NABILP,NABILP,NABIL Bank Limited Promotor Share,Promoter Share src:Nepsealpha.com,stock
NADDF,NADDF,NIC Asia Dynamic Debt Fund,Mutual Fund src:Nepsealpha.com,stock
NADEP,NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
NADEPP,NADEPP,Nadep Laghubitta Bittiya Sanstha Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
NAGRO,NAGRO,Nepal Agro Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
NBB,NBB,Nepal Bangladesh Bank Limited,Commercial Banks src:Nepsealpha.com,stock
NBBD2085,NBBD2085,10.25% NBBL Debenture 2085,Corporate Debenture src:Nepsealpha.com,stock
NBBL,NBBL,NagBeli LaghuBitta Bikas Bank Ltd.,Microfinance src:Nepsealpha.com,stock
NBBLPO,NBBLPO,NagBeli LaghuBitta Bikas Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
NBBPO,NBBPO,Nepal Bangladesh Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
NBBU,NBBU,Nepal Bitumin And Barrel Udhyog Limited,Manufacturing And Processing src:Nepsealpha.com,stock
